script,year,character,gender,line,stereotype_type
JabWeMet,,Aditya,male,"Geet and Aditya are chattering, sitting under the tree.",none
JabWeMet,,Aditya,male,"Aditya is standing across the courtyard, looking at all this. There is a narrow table there on",occupation_gap
JabWeMet,,Aditya,male,"which snacks are being laid out. Geet is helping in that. She comes close to Aditya, putting the glasses in",appearance_focus
JabWeMet,,Aditya,male,"Aditya removes her hand from himself and moves off a bit. In so doing, he sees Roop. She has",appearance_focus
JabWeMet,,Aditya,male,been watching all this with a puzzled look. Aditya turns and moves away.,occupation_gap
JabWeMet,,Aditya,male,Aditya is standing on the side.,occupation_gap
JabWeMet,,Aditya,male,Aditya looks at Old Sikh. Old Sikh is sitting next to Manjeet and Geet now.,occupation_gap
JabWeMet,,Aditya,male,Aditya looks sharply at Geet. Geet looks at him with a grin on her face.,appearance_focus
JabWeMet,,Aditya,male,"Aditya looks around, trapped. Old Sikh speaks to him.",occupation_gap
JabWeMet,,Aditya,male,"Aditya looks down, prepares. Then looks up.",occupation_gap
JabWeMet,,Aditya,male,"(to Aditya) Baith jao ji, baith jao. Aaraam se.",relationship_only
JabWeMet,,Aditya,male,"Aditya sits. He clears his throat, looks up at the gathering. They are all staring at him.",occupation_gap
JabWeMet,,Aditya,male,Aditya looks at Geet. She is looking at him with a smile.,appearance_focus
JabWeMet,,Aditya,male,Aditya looks down and begins to snap his fingers in rhythm. The beat picks up. He starts singing,occupation_gap
JabWeMet,,Aditya,male,"to reach him, he is trying to get away from her. As a way out, Aditya comes to Roop and sticks to her",relationship_only
JabWeMet,,Aditya,male,"Geet  sees Aditya at a distance with Amrik, shooting stones with a catapult.",occupation_gap
JabWeMet,,Aditya,male,She skips towards Aditya. He looks at her.,appearance_focus
JabWeMet,,Aditya,male,Amrik runs away. Geet turns towards Aditya. He is looking at her with a smile.,relationship_only
JabWeMet,,Aditya,male,"Geet does not smile. She comes close to Aditya, looking tense.",agency_gap
JabWeMet,,Aditya,male,Aditya looks. He sees Manjeet walking towards them.,appearance_focus
JabWeMet,,Aditya,male,Geet comes forward and kisses Aditya’s cheek. Aditya is shocked. Manjeet stops in his tracks in,relationship_only
JabWeMet,,Aditya,male,distance. Aditya does not know what to do.,occupation_gap
JabWeMet,,Aditya,male,"Geet embraces Aditya. Manjeet is frozen, Aditya is stumped. But then he suddenly calls out –",relationship_only
JabWeMet,,Aditya,male,Geet quickly leaves Aditya and turns around to see Manjeet.,relationship_only
JabWeMet,,Aditya,male,Batao ise Aditya. Bombay mein bhi to kuch nahin hua tha hamaare beech. Nothing. Tell him.,occupation_gap
JabWeMet,,Aditya,male,Manjeet waits. Aditya comes closer to him.,occupation_gap
JabWeMet,,Aditya,male,Aditya is walking up the stairs to his room. Geet is standing with other women in the courtyard.,relationship_only
JabWeMet,,Aditya,male,"The figure creeps up to Aditya, who is sleeping on the bed. The person touches him. Aditya",occupation_gap
JabWeMet,,Aditya,male,Aditya lifts himself to sit. Geet comes close. There is enough light to see each other here. They,none
JabWeMet,,Aditya,male,They are stealing across the courtyard. Aditya looks up to the other corridor on the first floor. He,occupation_gap
JabWeMet,,Aditya,male,Geet follows Aditya’s look and sees Roop. Roop is straining to see what the hell is happening in,occupation_gap
JabWeMet,,Aditya,male,panting. She looks outside. Aditya and Geet are seen running away on the outside lane that goes to the,occupation_gap
JabWeMet,,Utho,male,"(screaming) Papa, chachaji, Geet bhaag rahi hai. Utho sab log. Vikram, Satpal…",relationship_only
JabWeMet,,Kya hua,female,(to everyone) Kya hua? Haan? Kya hua?,none
JabWeMet,,Aditya,male,Aditya is looking down from the terrace to the frontyard. Geet creeps up to him.,relationship_only
JabWeMet,,Zara,female,(intermittently) Ae ji… Zara samhaal kar… Zyada ghussa mat karo… Ji dekho,relationship_only
JabWeMet,,Aditya,male,"A motorcycle and the jeep leave at great speed towards the road. Aditya, peeping down, shakes",occupation_gap
JabWeMet,,Aditya,male,Sound of motorbike. Aditya turns and looks.,occupation_gap
JabWeMet,,Satpal,male,Geet’s cousin brother Satpal has returned on the motorbike. He is with Kulmeet Singh near the,occupation_gap
JabWeMet,,Aditya,male,Aditya is listening with concentration. Geet catches his arm.,none
JabWeMet,,Aditya,male,Ghabrao mat Aditya. Sab theek ho jayega. Tum dekhna.,relationship_only
JabWeMet,,Aditya,male,Tum to life mein bahut serious the Aditya. Kya fayda hua? Bahut bade problem to tum bhi pahns,agency_gap
JabWeMet,,Aditya,male,Aditya is stunned. He stares at her.,appearance_focus
JabWeMet,,Aditya,male,"Aditya is staring at her. Unexpectedly, she is making all the sense to him. She smiles, clutches",none
JabWeMet,,Aditya,male,"Aditya smiles, shakes his head. She looks at him.",none
JabWeMet,,Aditya,male,"Aditya is looking at Geet, smile on face, internally mesmerized by her.",appearance_focus
JabWeMet,,Aditya,male,Dark crops at night. Aditya leads Geet out of them. They come to the road. They move in the,occupation_gap
JabWeMet,,Aditya,male,"direction of the taxi stand. Geet stops. She looks back at the house she is leaving. Aditya notices, comes",occupation_gap
JabWeMet,,Aditya,male,Aditya can see the taxis in the stand down the road.,occupation_gap
JabWeMet,,Aditya,male,everybody on the street. Aditya is looking at her go beserk. He is looking at her with the feeling that he,occupation_gap
JabWeMet,,Aditya,male,Geet changes clothes and shows the options to Aditya. Aditya watches.,appearance_focus
JabWeMet,,Aditya,male,"down below. Aditya is standing behind, looking at her. She sights Anshuman.",relationship_only
JabWeMet,,Aditya,male,She turns to Aditya in full glee. He is looking straight at her.,relationship_only
JabWeMet,,Aditya,male,"Aditya comes forward, holds her hand. He looks at her to print her in his mind. She looks at him.",relationship_only
JabWeMet,,Aditya,male,"him go, then turns towards Anshuman. Aditya turns and looks at her. She is running towards Anshuman.",relationship_only
JabWeMet,,Aditya,male,Aditya turns back and smiles. He walks away.,none
JabWeMet,,Aditya,male,"In the last Manali Montage shot, one which looks at the mall area, Aditya walks up to the front",occupation_gap
JabWeMet,,Aditya,male,"They are all looking disgruntled, especially the senior ones sitting in front. Aditya reaches the",occupation_gap
JabWeMet,,Aditya,male,"Aditya looks at the group. There is tension in the hall. He looks at Raghav, looks back at the",occupation_gap
JabWeMet,,Aditya,male,Raghav is looking at Aditya in suspense.,occupation_gap
