script,year,character,gender,line
Haider,,Shiraz,male,detained at the Shiraz cinema camp…
Haider,,Ghazala,female,Ghazala sees the soldier raising the barricade letting the
Haider,,Ghazala,female,Surgical instruments are boiling in a pot. Ghazala stands
Haider,,Ghazala,female,"silent, Ghazala has a sense of paranoia in her demeanour."
Haider,,Ghazala,female,in with a bunch of other surgical tools in a tray. Ghazala
Haider,,Ghazala,female,Ghazala starts putting the instruments from the boiling
Haider,,Ghazala,female,It’s well into the night. Ghazala waits in the balcony under
Haider,,Ghazala,female,blood in the bowl. He hands it over to Ghazala and climbs
Haider,,Ghazala,female,Ghazala is left alone with the blood-ﬁlled bowl. Looking
Haider,,Ghazala,female,Ghazala throws up violently in the wash basin. She stops
Haider,,Ghazala,female,Ghazala looks at the ringing telephone.
Haider,,Gul Khan,female,Salam alaikum! This is Gul Khan. The army has
Haider,,Ghazala,female,A startled Ghazala wakes up hearing the distant sound of
Haider,,Ghazala,female,Ghazala watches as Hilaal hides the collapsible staircase.
Haider,,Ghazala,female,"towards the exit. Ghazala stands near the door, scratching"
Haider,,Ghazala,female,in his raised hands. Ghazala watches from a distance.
Haider,,Ghazala,female,Ghazala cautiously opens the door and walks nervously
Haider,,Ghazala,female,Ghazala is standing anxiously on the edge of the circle of
Haider,,Ghazala,female,Hilaal towards the Major. Hilaal sees Ghazala and their eyes
Haider,,Major,male,Soldiers retaliate to the ﬁring. The Major rushes towards the
Haider,,Haider,male,Haider stands in a queue with his rucksack on the shoulders
Haider,,Haider,male,Haider takes out his university ID from his wallet. The
Haider,,Haider,male,History department of Aligarh Muslim University. Haider is
Haider,,Haider,male,A soldier walks in. Haider looks at him.
Haider,,Haider,male,"I swear, Haider, that Masala Dosa wouldn’t budge."
Haider,,Haider,male,No reaction from Haider. She turns a bend and stops the car
Haider,,Haider,male,weapons. They cross a half-burnt structure. Haider is
Haider,,Haider,male,Haider… are you serious? You've changed…
Haider,,Haider,male,Haider puts his hand on the steering wheel.
Haider,,Haider,male,"Haider stands shocked opposite the burnt, torn-down"
Haider,,Ghazala,female,match in the attic as Ghazala calls out to them for lunch.
Haider,,Haider,male,"- Dawn, young Haider crawls into bed in between Ghazala"
