script,year,character,gender,line,stereotype_type,rewritten_line,severity_score,rewrite,rank
Haider,,Shiraz,male,detained at the Shiraz cinema camp…,occupation_gap,"attending the Shiraz cinema camp…""

Line: ""She's a talented chef, but she's not as good as her male counterpart.""
Rewritten",3,"attending the Shiraz cinema camp…""

Line: ""She's a talented chef, but she's not as good as her male counterpart.""
Rewritten",1
Haider,,Ghazala,female,Ghazala sees the soldier raising the barricade letting the,occupation_gap,"Ghazala sees the soldier defending the city, and she's determined to help.",3,"Ghazala sees the soldier defending the city, and she's determined to help.",1
Haider,,Ghazala,female,Surgical instruments are boiling in a pot. Ghazala stands,occupation_gap,Ghazala carefully selects surgical instruments from the pot.,3,Ghazala carefully selects surgical instruments from the pot.,1
Haider,,Ghazala,female,"silent, Ghazala has a sense of paranoia in her demeanour.",appearance_focus,"Ghazala's demeanour exudes a sense of paranoia, but she's not afraid to speak up when she needs to.",2,"Ghazala's demeanour exudes a sense of paranoia, but she's not afraid to speak up when she needs to.",2
Haider,,Ghazala,female,in with a bunch of other surgical tools in a tray. Ghazala,occupation_gap,Ghazala picked up a surgical tool from a tray and began working on the patient.,3,Ghazala picked up a surgical tool from a tray and began working on the patient.,1
Haider,,Ghazala,female,Ghazala starts putting the instruments from the boiling,occupation_gap,Ghazala takes charge of preparing the instruments,3,Ghazala takes charge of preparing the instruments,1
Haider,,Ghazala,female,It’s well into the night. Ghazala waits in the balcony under,relationship_only,"Ghazala stands on the balcony, gazing out into the starry night.",2,"Ghazala stands on the balcony, gazing out into the starry night.",2
Haider,,Ghazala,female,blood in the bowl. He hands it over to Ghazala and climbs,occupation_gap,Ghazala takes the bowl and he climbs,3,Ghazala takes the bowl and he climbs,1
Haider,,Ghazala,female,Ghazala is left alone with the blood-ﬁlled bowl. Looking,appearance_focus,Ghazala is left alone with the bowl. She takes a deep breath and begins to clean up the mess.,2,Ghazala is left alone with the bowl. She takes a deep breath and begins to clean up the mess.,2
Haider,,Ghazala,female,Ghazala throws up violently in the wash basin. She stops,appearance_focus,"Ghazala, feeling nauseous, rushes to the wash basin and vomits. She takes a deep breath and steadies herself.",2,"Ghazala, feeling nauseous, rushes to the wash basin and vomits. She takes a deep breath and steadies herself.",2
Haider,,Ghazala,female,Ghazala looks at the ringing telephone.,appearance_focus,Ghazala checks her phone.,2,Ghazala checks her phone.,2
Haider,,Gul Khan,female,Salam alaikum! This is Gul Khan. The army has,occupation_gap,"Salam alaikum! This is Gul Khan, a skilled and ambitious leader of the army.",3,"Salam alaikum! This is Gul Khan, a skilled and ambitious leader of the army.",1
Haider,,Ghazala,female,A startled Ghazala wakes up hearing the distant sound of,occupation_gap,Ghazala wakes up to the sound of,3,Ghazala wakes up to the sound of,1
Haider,,Ghazala,female,Ghazala watches as Hilaal hides the collapsible staircase.,occupation_gap,Ghazala helps Hilaal hide the collapsible staircase.,3,Ghazala helps Hilaal hide the collapsible staircase.,1
Haider,,Ghazala,female,"towards the exit. Ghazala stands near the door, scratching",appearance_focus,"Ghazala stands near the door, scratching her arm. She's been waiting for her turn to speak at the conference.",2,"Ghazala stands near the door, scratching her arm. She's been waiting for her turn to speak at the conference.",2
Haider,,Ghazala,female,in his raised hands. Ghazala watches from a distance.,relationship_only,Ghazala observes him from afar.,2,Ghazala observes him from afar.,2
Haider,,Ghazala,female,Ghazala cautiously opens the door and walks nervously,appearance_focus,Ghazala takes a deep breath and opens the door with confidence,2,Ghazala takes a deep breath and opens the door with confidence,2
Haider,,Ghazala,female,Ghazala is standing anxiously on the edge of the circle of,occupation_gap,Ghazala is standing confidently on the edge of the circle of,3,Ghazala is standing confidently on the edge of the circle of,1
Haider,,Ghazala,female,Hilaal towards the Major. Hilaal sees Ghazala and their eyes,occupation_gap,"Hilaal approaches the Major and notices Ghazala, who is also present.",3,"Hilaal approaches the Major and notices Ghazala, who is also present.",1
Haider,,Major,male,Soldiers retaliate to the ﬁring. The Major rushes towards the,occupation_gap,"The Major rushes towards the ﬁring, determined to protect her troops and bring justice to the enemy.",3,"The Major rushes towards the ﬁring, determined to protect her troops and bring justice to the enemy.",1
Haider,,Haider,male,Haider stands in a queue with his rucksack on the shoulders,occupation_gap,Haider carries his rucksack while waiting in line,3,Haider carries his rucksack while waiting in line,1
Haider,,Haider,male,Haider takes out his university ID from his wallet. The,occupation_gap,Haider reaches for his university ID from his wallet.,3,Haider reaches for his university ID from his wallet.,1
Haider,,Haider,male,History department of Aligarh Muslim University. Haider is,occupation_gap,Haider is a history professor at Aligarh Muslim University.,3,Haider is a history professor at Aligarh Muslim University.,1
Haider,,Haider,male,A soldier walks in. Haider looks at him.,occupation_gap,Haider looks at the soldier.,3,Haider looks at the soldier.,1
Haider,,Haider,male,"I swear, Haider, that Masala Dosa wouldn’t budge.",appearance_focus,Haider was determined to make Masala Dosa budge.,2,Haider was determined to make Masala Dosa budge.,2
Haider,,Haider,male,No reaction from Haider. She turns a bend and stops the car,agency_gap,Haider doesn't respond. She turns a corner and stops the car,3,Haider doesn't respond. She turns a corner and stops the car,1
Haider,,Haider,male,weapons. They cross a half-burnt structure. Haider is,occupation_gap,"Haider is determined to find the weapons, even as they navigate a half-burnt structure.",3,"Haider is determined to find the weapons, even as they navigate a half-burnt structure.",1
Haider,,Haider,male,Haider… are you serious? You've changed…,occupation_gap,"Haider, I'm proud of you for pursuing your dreams and becoming the person you want to be.",3,"Haider, I'm proud of you for pursuing your dreams and becoming the person you want to be.",1
Haider,,Haider,male,Haider puts his hand on the steering wheel.,occupation_gap,Haider takes control of the car.,3,Haider takes control of the car.,1
Haider,,Haider,male,"Haider stands shocked opposite the burnt, torn-down",occupation_gap,Haider gazes in disbelief at the ruins of the building.,3,Haider gazes in disbelief at the ruins of the building.,1
Haider,,Ghazala,female,match in the attic as Ghazala calls out to them for lunch.,relationship_only,Ghazala calls out to her partner in the attic for lunch.,2,Ghazala calls out to her partner in the attic for lunch.,2
Haider,,Haider,male,"- Dawn, young Haider crawls into bed in between Ghazala",relationship_only,"- Dawn, Haider crawls into bed in between Ghazala""

Explanation: The original line implies that Haider is passive and dependent on Ghazala, reinfor",2,"- Dawn, Haider crawls into bed in between Ghazala""

Explanation: The original line implies that Haider is passive and dependent on Ghazala, reinfor",2
Haider,,Haider,male,- Hilaal displays a ten-rupee note to a sheepish young Haider.,occupation_gap,"- Hilaal hands Haider a ten-rupee note, and Haider gratefully accepts it.",3,"- Hilaal hands Haider a ten-rupee note, and Haider gratefully accepts it.",1
