script,year,character,gender,line,stereotype_type,rewritten_line
Haider,,Shiraz,male,detained at the Shiraz cinema camp…,occupation_gap,"attending the Shiraz cinema camp…""

Line: ""She's a talented chef, but she's not as good as her male counterpart.""
Rewritten"
Haider,,Ghazala,female,Ghazala sees the soldier raising the barricade letting the,occupation_gap,"Ghazala sees the soldier defending the city, and she's determined to help."
Haider,,Ghazala,female,Surgical instruments are boiling in a pot. Ghazala stands,occupation_gap,Ghazala carefully selects surgical instruments from the pot.
Haider,,Ghazala,female,"silent, Ghazala has a sense of paranoia in her demeanour.",appearance_focus,"Ghazala's demeanour exudes a sense of paranoia, but she's not afraid to speak up when she needs to."
Haider,,Ghazala,female,in with a bunch of other surgical tools in a tray. Ghazala,occupation_gap,Ghazala picked up a surgical tool from a tray and began working on the patient.
Haider,,Ghazala,female,Ghazala starts putting the instruments from the boiling,occupation_gap,Ghazala takes charge of preparing the instruments
Haider,,Ghazala,female,It’s well into the night. Ghazala waits in the balcony under,relationship_only,"Ghazala stands on the balcony, gazing out into the starry night."
Haider,,Ghazala,female,blood in the bowl. He hands it over to Ghazala and climbs,occupation_gap,Ghazala takes the bowl and he climbs
Haider,,Ghazala,female,Ghazala is left alone with the blood-ﬁlled bowl. Looking,appearance_focus,Ghazala is left alone with the bowl. She takes a deep breath and begins to clean up the mess.
Haider,,Ghazala,female,Ghazala throws up violently in the wash basin. She stops,appearance_focus,"Ghazala, feeling nauseous, rushes to the wash basin and vomits. She takes a deep breath and steadies herself."
Haider,,Ghazala,female,Ghazala looks at the ringing telephone.,appearance_focus,Ghazala checks her phone.
Haider,,Gul Khan,female,Salam alaikum! This is Gul Khan. The army has,occupation_gap,"Salam alaikum! This is Gul Khan, a skilled and ambitious leader of the army."
Haider,,Ghazala,female,A startled Ghazala wakes up hearing the distant sound of,occupation_gap,Ghazala wakes up to the sound of
Haider,,Ghazala,female,Ghazala watches as Hilaal hides the collapsible staircase.,occupation_gap,Ghazala helps Hilaal hide the collapsible staircase.
Haider,,Ghazala,female,"towards the exit. Ghazala stands near the door, scratching",appearance_focus,"Ghazala stands near the door, scratching her arm. She's been waiting for her turn to speak at the conference."
Haider,,Ghazala,female,in his raised hands. Ghazala watches from a distance.,relationship_only,Ghazala observes him from afar.
Haider,,Ghazala,female,Ghazala cautiously opens the door and walks nervously,appearance_focus,Ghazala takes a deep breath and opens the door with confidence
Haider,,Ghazala,female,Ghazala is standing anxiously on the edge of the circle of,occupation_gap,Ghazala is standing confidently on the edge of the circle of
Haider,,Ghazala,female,Hilaal towards the Major. Hilaal sees Ghazala and their eyes,occupation_gap,"Hilaal approaches the Major and notices Ghazala, who is also present."
Haider,,Major,male,Soldiers retaliate to the ﬁring. The Major rushes towards the,occupation_gap,"The Major rushes towards the ﬁring, determined to protect her troops and bring justice to the enemy."
Haider,,Haider,male,Haider stands in a queue with his rucksack on the shoulders,occupation_gap,Haider carries his rucksack while waiting in line
Haider,,Haider,male,Haider takes out his university ID from his wallet. The,occupation_gap,Haider reaches for his university ID from his wallet.
Haider,,Haider,male,History department of Aligarh Muslim University. Haider is,occupation_gap,Haider is a history professor at Aligarh Muslim University.
